Data,À vista R$,À vista US$
02/01/2023,"1.031,20","192,39"
03/01/2023,"1.034,46","189,88"
04/01/2023,"1.021,50","187,29"
05/01/2023,"1.020,40","190,30"
06/01/2023,"1.023,47","195,21"
09/01/2023,"1.002,85","190,84"
10/01/2023,"968,37","186,15"
11/01/2023,"944,56","182,14"
12/01/2023,"953,00","187,08"
13/01/2023,"945,34","185,58"
16/01/2023,"955,07","185,41"
17/01/2023,"951,65","186,31"
18/01/2023,"979,10","189,79"
19/01/2023,"1.000,74","193,38"
20/01/2023,"1.002,74","192,72"
23/01/2023,"1.023,39","196,96"
24/01/2023,"1.030,20","200,16"
25/01/2023,"1.035,11","203,92"
26/01/2023,"1.048,76","206,77"
27/01/2023,"1.061,83","207,75"
30/01/2023,"1.067,01","208,73"
31/01/2023,"1.103,18","217,25"
01/02/2023,"1.104,47","216,99"
02/02/2023,"1.096,14","217,66"
03/02/2023,"1.079,90","210,14"
06/02/2023,"1.114,33","215,29"
07/02/2023,"1.123,64","216,13"
08/02/2023,"1.119,52","215,75"
09/02/2023,"1.118,27","212,20"
10/02/2023,"1.123,17","215,04"
13/02/2023,"1.117,26","215,60"
14/02/2023,"1.143,75","219,91"
15/02/2023,"1.125,22","215,72"
16/02/2023,"1.135,15","217,46"
17/02/2023,"1.157,53","224,24"
22/02/2023,"1.179,20","228,13"
23/02/2023,"1.150,14","224,11"
24/02/2023,"1.141,39","219,25"
27/02/2023,"1.141,47","219,72"
28/02/2023,"1.160,98","222,37"
01/03/2023,"1.134,54","218,35"
02/03/2023,"1.136,99","218,48"
03/03/2023,"1.114,38","214,39"
06/03/2023,"1.123,91","217,56"
07/03/2023,"1.134,01","218,46"
08/03/2023,"1.097,38","213,37"
09/03/2023,"1.089,79","212,27"
10/03/2023,"1.092,87","209,56"
13/03/2023,"1.107,71","210,27"
14/03/2023,"1.106,96","210,61"
15/03/2023,"1.087,87","205,49"
16/03/2023,"1.128,17","215,18"
17/03/2023,"1.113,46","211,12"
20/03/2023,"1.106,86","211,11"
21/03/2023,"1.114,76","212,62"
22/03/2023,"1.112,36","213,18"
23/03/2023,"1.100,27","208,03"
24/03/2023,"1.122,44","213,88"
27/03/2023,"1.115,01","213,97"
28/03/2023,"1.085,19","210,06"
29/03/2023,"1.069,00","207,94"
30/03/2023,"1.068,86","209,54"
31/03/2023,"1.044,94","206,14"
03/04/2023,"1.082,95","213,43"
04/04/2023,"1.070,15","210,37"
05/04/2023,"1.094,52","216,56"
06/04/2023,"1.101,19","217,63"
10/04/2023,"1.096,07","216,19"
11/04/2023,"1.121,49","223,98"
12/04/2023,"1.109,21","224,36"
13/04/2023,"1.132,20","229,79"
14/04/2023,"1.125,42","228,84"
17/04/2023,"1.136,75","230,34"
18/04/2023,"1.142,57","229,66"
19/04/2023,"1.148,25","226,21"
20/04/2023,"1.111,77","220,07"
24/04/2023,"1.111,82","220,60"
25/04/2023,"1.076,43","212,36"
26/04/2023,"1.092,76","216,26"
27/04/2023,"1.083,01","217,34"
28/04/2023,"1.077,88","216,05"
02/05/2023,"1.075,12","213,02"
03/05/2023,"1.064,10","213,20"
04/05/2023,"1.054,24","211,14"
05/05/2023,"1.060,65","214,53"
08/05/2023,"1.058,53","211,11"
09/05/2023,"1.053,70","211,25"
10/05/2023,"1.054,48","212,98"
11/05/2023,"1.038,55","210,11"
12/05/2023,"1.034,79","210,02"
15/05/2023,"1.037,39","211,97"
16/05/2023,"1.044,21","211,42"
17/05/2023,"1.042,37","211,05"
18/05/2023,"1.043,39","209,98"
19/05/2023,"1.057,64","211,48"
22/05/2023,"1.040,61","209,42"
23/05/2023,"1.037,01","208,57"
24/05/2023,"1.039,46","209,91"
25/05/2023,"1.025,20","203,49"
26/05/2023,"1.018,01","204,01"
29/05/2023,"1.014,00","202,31"
30/05/2023,"992,80","196,94"
31/05/2023,"991,05","195,13"
01/06/2023,"999,01","199,28"
02/06/2023,"993,37","200,40"
05/06/2023,"990,85","201,11"
06/06/2023,"987,44","200,98"
07/06/2023,"991,03","201,22"
09/06/2023,"1.005,37","206,19"
12/06/2023,"982,74","201,96"
13/06/2023,"964,19","198,27"
14/06/2023,"959,10","198,65"
15/06/2023,"966,28","201,14"
