Epoch,Loss
0,1.0901
1,1.0813
2,1.0726
3,1.0640
4,1.0554
5,1.0469
6,1.0385
7,1.0302
8,1.0219
9,1.0138
10,1.0057
11,0.9976
12,0.9897
13,0.9818
14,0.9740
15,0.9663
16,0.9586
17,0.9510
18,0.9435
19,0.9361
20,0.9287
21,0.9214
22,0.9142
23,0.9070
24,0.8999
25,0.8929
26,0.8859
27,0.8790
28,0.8722
29,0.8655
30,0.8588
31,0.8521
32,0.8456
33,0.8391
34,0.8327
35,0.8263
36,0.8200
37,0.8137
38,0.8075
39,0.8014
40,0.7954
41,0.7894
42,0.7834
43,0.7775
44,0.7717
45,0.7659
46,0.7602
47,0.7546
48,0.7490
49,0.7434
50,0.7379
51,0.7325
52,0.7271
53,0.7218
54,0.7165
55,0.7113
56,0.7061
57,0.7010
58,0.6959
59,0.6909
60,0.6860
61,0.6810
62,0.6762
63,0.6714
64,0.6666
65,0.6619
66,0.6572
67,0.6526
68,0.6480
69,0.6434
70,0.6389
71,0.6345
72,0.6301
73,0.6257
74,0.6214
75,0.6171
76,0.6129
77,0.6087
78,0.6046
79,0.6005
80,0.5964
81,0.5924
82,0.5884
83,0.5844
84,0.5805
85,0.5767
86,0.5728
87,0.5690
88,0.5653
89,0.5616
90,0.5579
91,0.5542
92,0.5506
93,0.5470
94,0.5435
95,0.5400
96,0.5365
97,0.5331
98,0.5297
99,0.5263
100,0.5230
101,0.5197
102,0.5164
103,0.5131
104,0.5099
105,0.5067
106,0.5036
107,0.5005
108,0.4974
109,0.4943
110,0.4913
111,0.4883
112,0.4853
113,0.4823
114,0.4794
115,0.4765
116,0.4737
117,0.4708
118,0.4680
119,0.4652
120,0.4624
121,0.4597
122,0.4570
123,0.4543
124,0.4517
125,0.4490
126,0.4464
127,0.4438
128,0.4413
129,0.4387
130,0.4362
131,0.4337
132,0.4312
133,0.4288
134,0.4264
135,0.4240
136,0.4216
137,0.4192
138,0.4169
139,0.4146
140,0.4123
141,0.4100
142,0.4077
143,0.4055
144,0.4033
145,0.4011
146,0.3989
147,0.3967
148,0.3946
149,0.3925
150,0.3904
151,0.3883
152,0.3862
153,0.3842
154,0.3821
155,0.3801
156,0.3781
157,0.3762
158,0.3742
159,0.3722
160,0.3703
161,0.3684
162,0.3665
163,0.3646
164,0.3628
165,0.3609
166,0.3591
167,0.3573
168,0.3555
169,0.3537
170,0.3519
171,0.3502
172,0.3484
173,0.3467
174,0.3450
175,0.3433
176,0.3416
177,0.3399
178,0.3383
179,0.3366
180,0.3350
181,0.3334
182,0.3318
183,0.3302
184,0.3286
185,0.3270
186,0.3255
187,0.3239
188,0.3224
189,0.3209
190,0.3194
191,0.3179
192,0.3164
193,0.3149
194,0.3135
195,0.3120
196,0.3106
197,0.3092
198,0.3078
199,0.3064
200,0.3050
201,0.3036
202,0.3022
203,0.3009
204,0.2995
205,0.2982
206,0.2969
207,0.2956
208,0.2942
209,0.2929
210,0.2917
211,0.2904
212,0.2891
213,0.2879
214,0.2866
215,0.2854
216,0.2841
217,0.2829
218,0.2817
219,0.2805
220,0.2793
221,0.2781
222,0.2769
223,0.2758
224,0.2746
225,0.2735
226,0.2723
227,0.2712
228,0.2701
229,0.2689
230,0.2678
231,0.2667
232,0.2656
233,0.2646
234,0.2635
235,0.2624
236,0.2613
237,0.2603
238,0.2592
239,0.2582
240,0.2572
241,0.2561
242,0.2551
243,0.2541
244,0.2531
245,0.2521
246,0.2511
247,0.2501
248,0.2491
249,0.2482
250,0.2472
251,0.2462
252,0.2453
253,0.2444
254,0.2434
255,0.2425
256,0.2416
257,0.2406
258,0.2397
259,0.2388
260,0.2379
261,0.2370
262,0.2361
263,0.2352
264,0.2344
265,0.2335
266,0.2326
267,0.2318
268,0.2309
269,0.2301
270,0.2292
271,0.2284
272,0.2276
273,0.2267
274,0.2259
275,0.2251
276,0.2243
277,0.2235
278,0.2227
279,0.2219
280,0.2211
281,0.2203
282,0.2195
283,0.2187
284,0.2180
285,0.2172
286,0.2164
287,0.2157
288,0.2149
289,0.2142
290,0.2134
291,0.2127
292,0.2120
293,0.2112
294,0.2105
295,0.2098
296,0.2091
297,0.2084
298,0.2077
299,0.2070
300,0.2063
301,0.2056
302,0.2049
303,0.2042
304,0.2035
305,0.2028
306,0.2022
307,0.2015
308,0.2008
309,0.2002
310,0.1995
311,0.1989
312,0.1982
313,0.1976
314,0.1969
315,0.1963
316,0.1957
317,0.1950
318,0.1944
319,0.1938
320,0.1932
321,0.1925
322,0.1919
323,0.1913
324,0.1907
325,0.1901
326,0.1895
327,0.1889
328,0.1883
329,0.1877
330,0.1872
331,0.1866
332,0.1860
333,0.1854
334,0.1848
335,0.1843
336,0.1837
337,0.1831
338,0.1826
339,0.1820
340,0.1815
341,0.1809
342,0.1804
343,0.1798
344,0.1793
345,0.1788
346,0.1782
347,0.1777
348,0.1772
349,0.1766
350,0.1761
351,0.1756
352,0.1751
353,0.1746
354,0.1740
355,0.1735
356,0.1730
357,0.1725
358,0.1720
359,0.1715
360,0.1710
361,0.1705
362,0.1700
363,0.1696
364,0.1691
365,0.1686
366,0.1681
367,0.1676
368,0.1672
369,0.1667
370,0.1662
371,0.1657
372,0.1653
373,0.1648
374,0.1643
375,0.1639
376,0.1634
377,0.1630
378,0.1625
379,0.1621
380,0.1616
381,0.1612
382,0.1607
383,0.1603
384,0.1599
385,0.1594
386,0.1590
387,0.1586
388,0.1581
389,0.1577
390,0.1573
391,0.1569
392,0.1564
393,0.1560
394,0.1556
395,0.1552
396,0.1548
397,0.1544
398,0.1540
399,0.1535
400,0.1531
401,0.1527
402,0.1523
403,0.1519
404,0.1515
405,0.1511
406,0.1508
407,0.1504
408,0.1500
409,0.1496
410,0.1492
411,0.1488
412,0.1484
413,0.1481
414,0.1477
415,0.1473
